,number,title,authors,info,url
0,401,"СРАВНИТЕЛЬНЫЙ АНАЛИЗ ОДНОРОДНОЙ ПАКЕТНОЙ И ГИБРИДНОЙ ИНФОТЕЛЕКОММУНИКАЦИОННОЙ ТРАНСПОРТНОЙ СИСТЕМЫ НА ТЕХНОЛОГИИ IP-ATM-CIFМошак Н.Н., Тарасов В.А.



Свидетельство о регистрации программы для ЭВМ RU 2023611855, 25.01.2023.
 Заявка № 2023610793 от 19.01.2023.","Мошак Н.Н., Тарасов В.А.",,https://www.elibrary.ru/item.asp?id=50274916
1,402,"ПРОГРАММА ДЕТЕКТИРОВАНИЯ СЕТЕВОЙ СТЕГАНОГРАФИИ В БЛОКАХ ДАННЫХ ПРОТОКОЛА TCPКрасов А.В., Салита А.С., Пешков А.И., Ушаков И.А.



Свидетельство о регистрации программы для ЭВМ RU 2023663566, 26.06.2023.
 Заявка № 2023662332 от 14.06.2023.","Красов А.В., Салита А.С., Пешков А.И., Ушаков И.А.",,https://www.elibrary.ru/item.asp?id=54198134
2,403,"ПРОГРАММА ДЛЯ ВЫЯВЛЕНИЯ СЕТЕВОЙ СТЕГАНОГРАФИИ В ПАКЕТАХ ПРОТОКОЛА IPV4Ушаков И.А., Салита А.С., Пешков А.И.



Свидетельство о регистрации программы для ЭВМ RU 2023663702, 27.06.2023.
 Заявка № 2023662483 от 14.06.2023.","Ушаков И.А., Салита А.С., Пешков А.И.",,https://www.elibrary.ru/item.asp?id=54198269
3,404,"ПРОГРАММНЫЙ МОДУЛЬ МОДЕЛИРОВАНИЯ ВЗАИМОДЕЙСТВИЯ ГРАНИЧНЫХ УСТРОЙСТВ В СЕТИ VANET С ОДНО- И ДВУХКАНАЛЬНЫМ ПОДКЛЮЧЕНИЕМПлотников П.В., Тамбовцев Г.И., Владыко А.Г.



Свидетельство о регистрации программы для ЭВМ RU 2023681939, 19.10.2023.
 Заявка от 06.10.2023.","Плотников П.В., Тамбовцев Г.И., Владыко А.Г.",,https://www.elibrary.ru/item.asp?id=56000809
4,405,"ПРОГРАММА ДЛЯ СБОРА ПЕРВИЧНЫХ ДАННЫХ СЕТЕЙ СОТОВОЙ СВЯЗИ НА АБОНЕНТСКИХ УСТРОЙСТВАХПрасолов А.А., Рощинский Р.С., Федоров А.С., Чудинов Д.М.



Свидетельство о регистрации программы для ЭВМ RU 2023683408, 07.11.2023.
 Заявка от 04.10.2023.","Прасолов А.А., Рощинский Р.С., Федоров А.С., Чудинов Д.М.",,https://www.elibrary.ru/item.asp?id=56002714
5,406,"РАЗРАБОТКА АЛГОРИТМОВ ПРОСТРАНСТВЕННО-ВРЕМЕННОЙ ОБРАБОТКИ СИГНАЛОВ В КВ РАДИОЛИНИЯХ С МОРСКИМИ СУДАМИРылов Е.А.



диссертация на соискание ученой степени кандидата технических наук / ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""САНКТ-ПЕТЕРБУРГСКИЙ ПОЛИТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ПЕТРА ВЕЛИКОГО"". 
2023",Рылов Е.А.,,https://www.elibrary.ru/item.asp?id=59955882
6,407,"СИСТЕМА ОТСЛЕЖИВАНИЯ СОСТОЯНИЯ КОМПОНЕНТОВ ГИПЕРКОНВЕРГЕНТНОЙ ПЛАТФОРМЫ ОБЛАЧНОЙ ИНФРАСТРУКТУРЫШвидкий А.А., Бугрова Е.С.



Свидетельство о регистрации программы для ЭВМ RU 2023612557, 06.02.2023.
 Заявка № 2023610816 от 19.01.2023.","Швидкий А.А., Бугрова Е.С.",,https://www.elibrary.ru/item.asp?id=50275768
7,408,"МОДУЛЬ ДЕКОДИРОВАНИЯ И СТРУКТУРИЗАЦИИ ДАННЫХ, ПОЛУЧАЕМЫХ ОТ СЕТИ СЕНСОРОВ КИБЕРФИЗИЧЕСКОЙ СИСТЕМЫФам B.Д., Киричек Р.В., Волков Д.А., Резников Б.К., Степаненков Г.В.



Свидетельство о регистрации программы для ЭВМ RU 2023610137, 09.01.2023.
 Заявка № 2022685067 от 15.12.2022.","Фам B.Д., Киричек Р.В., Волков Д.А., Резников Б.К., Степаненков Г.В.",,https://www.elibrary.ru/item.asp?id=50132979
8,409,"ИСТОРИЯ СВЯЗИ: ПРАКТИКУМКомиссарова Т.С., Мосеев В.И., Резников Б.К., Цыгоняева А.Ю.



Свидетельство о регистрации базы данных RU 2023623590, 23.10.2023.
 Заявка от 19.10.2023.","Комиссарова Т.С., Мосеев В.И., Резников Б.К., Цыгоняева А.Ю.",,https://www.elibrary.ru/item.asp?id=55997176
9,410,"ПРОГРАММНЫЙ МОДУЛЬ ИССЛЕДОВАНИЯ ЗАВИСИМОСТИ ТОЧНОСТИ ПОЗИЦИОНИРОВАНИЯ ОТ МЕСТОПОЛОЖЕНИЯ УСТРОЙСТВА В ЗАДАННОЙ ОБЛАСТИ ДЛЯ КОНФИГУРИРУЕМОГО СЦЕНАРИЯ ТЕРРИТОРИАЛЬНОГО РАСПРЕДЕЛЕНИЯ БАЗОВЫХ СТАНЦИЙ В СВЕРХПЛОТНЫХ СЕТЯХ МИЛЛИМЕТРОВОГО И ТЕРАГЕРЦОВОГО ДИАПАЗОНАФокин Г.А., Кучерявый А.Е., Морачевский А.П.



Свидетельство о регистрации программы для ЭВМ RU 2023682413, 25.10.2023.
 Заявка от 19.10.2023.","Фокин Г.А., Кучерявый А.Е., Морачевский А.П.",,https://www.elibrary.ru/item.asp?id=56001549
10,411,"ВАЛЬНО-ПЛАНЕТАРНАЯ ГИБРИДНАЯ ТРАНСМИССИЯДобрецов Р.Ю., Семенов А.Г.



Патент на изобретение RU 2805899 C1, 24.10.2023.
 Заявка от 05.07.2022.","Добрецов Р.Ю., Семенов А.Г.",,https://www.elibrary.ru/item.asp?id=56006379
11,412,"МЕТОДЫ ОЦЕНКИ ОПЕРАТИВНОСТИ ВЫПОЛНЕНИЯ ТРАНЗАКЦИЙ В ИНФОРМАЦИОННО-НАГРУЖЕННЫХ СИСТЕМАХ С РЕЗЕРВИРУЕМЫМИ РЕСУРСАМИШелест М.Н.



диссертация на соискание ученой степени кандидата технических наук / ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ТЕЛЕКОММУНИКАЦИЙ ИМ. ПРОФ. М.А. БОНЧ-БРУЕВИЧА"". 
2023",Шелест М.Н.,,https://www.elibrary.ru/item.asp?id=59955299
