,number,title,authors,info,url
0,901,"АТАКИ НА ЦВЗ В ФАЙЛАХ ЯЛРА ОС LINUX МЕТОДАМИ ОБФУСКАЦИИКузнецов В.А., Коньков В.В.



 В сборнике: Региональная информатика и информационная безопасность. Сборник трудов Санкт-Петербургской международной конференции. Санкт-Петербург, 2023.  С. 382-385.","Кузнецов В.А., Коньков В.В.",,https://www.elibrary.ru/item.asp?id=60025353
1,902,"ИНТЕГРАЦИЯ ДАННЫХ О МИКРОКЛИМАТЕ ОРАНЖЕРЕИ С ИНТЕЛЛЕКТУАЛЬНЫМИ СЕЛЬСКОХОЗЯЙСТВЕННЫМИ СИСТЕМАМИКрасавцева К.А., Раковский О.В.



 В сборнике: Подготовка профессиональных кадров в магистратуре для цифровой экономики (ПКМ-2023). Всероссийская научно-техническая и научно-методическая конференция магистрантов и их руководителей; Сборник лучших докладов: в 2 томах. Санкт-Петербург, 2023.  С. 383-385.","Красавцева К.А., Раковский О.В.",,https://www.elibrary.ru/item.asp?id=56659854
2,903,"ИСПОЛЬЗОВАНИЕ ТЕХНОЛОГИЙ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА ПРИ РАЗРАБОТКЕ WEB-САЙТАМирзагалимов Б.М., Побегалова В.В., Шарапова А.Х., Федорова А.В.



 В сборнике: Подготовка профессиональных кадров в магистратуре для цифровой экономики (ПКМ-2022). Сборник лучших докладов Всероссийской научно-технической и научно-методической конференции магистрантов и их руководителей. Сост. Н.Н. Иванов. Санкт-Петербург, 2023.  С. 383-387.","Мирзагалимов Б.М., Побегалова В.В., Шарапова А.Х., Федорова А.В.",,https://www.elibrary.ru/item.asp?id=50223125
3,904,"О МЕТОДАХ ОПТИМИЗАЦИИ ПРОИЗВОДСТВЕННЫХ ПРОЦЕССОВ ИЗГОТОВЛЕНИЯ УНИКАЛЬНЫХ РАДИОТЕХНИЧЕСКИХ ИЗДЕЛИЙЛиконцев А.Н., Осипова В.А.



 В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции: в 4 т.. Санкт-Петербург, 2023.  С. 383-388.","Ликонцев А.Н., Осипова В.А.",,https://www.elibrary.ru/item.asp?id=54609524
4,905,"OPEN-SOURCE FIREWALL SOLUTIONS: IT-STUDENTS' PERSPECTIVEKutuev T., Petriv R., Zheltova E.



 В сборнике: Вестник факультета социальных цифровых технологий. XХV Международный Балтийский коммуникационный форум. Санкт-Петербург, 2023.  С. 383-388.","Kutuev T., Petriv R., Zheltova E.",,https://www.elibrary.ru/item.asp?id=64227843
5,906,"ФИЛЬТР СВЧ НА ЦИЛИНДРИЧЕСКОЙ ПОВЕРХНОСТИВасяткин М.А., Ланда А.Э., Седышев Э.Ю.



 В сборнике: Подготовка профессиональных кадров в магистратуре для цифровой экономики (ПКМ-2022). Сборник лучших докладов Всероссийской научно-технической и научно-методической конференции магистрантов и их руководителей. Сост. Н.Н. Иванов. Санкт-Петербург, 2023.  С. 38-42.","Васяткин М.А., Ланда А.Э., Седышев Э.Ю.",,https://www.elibrary.ru/item.asp?id=50223051
6,907,"К ВОПРОСУ СИНТЕЗА УСТРОЙСТВ МУЛЬТИПЛЕКСИРОВАНИЯ СИГНАЛА НА СВЯЗАННЫХ НЕРЕГУЛЯРНЫХ ЛИНИЯХ В ИНТЕГРАЛЬНОМ ИСПОЛНЕНИИИванищева Е.Ф., Седышев Э.Ю.



 В сборнике: Подготовка профессиональных кадров в магистратуре для цифровой экономики (ПКМ-2023). Всероссийская научно-техническая и научно-методическая конференция магистрантов и их руководителей; Сборник лучших докладов: в 2 томах. Санкт-Петербург, 2023.  С. 38-43.","Иванищева Е.Ф., Седышев Э.Ю.",,https://www.elibrary.ru/item.asp?id=56659774
7,908,"ИССЛЕДОВАНИЕ МЕТОДОВ КАЛИБРОВКИ УВЕРЕННОСТИ ПРИНИМАЕМЫХ РЕШЕНИЙ В НЕЙРОСЕТЕВЫХ МОДЕЛЯХЛитвинов В.Л., Митченкова Е.Д.



 В сборнике: Подготовка профессиональных кадров в магистратуре для цифровой экономики (ПКМ-2023). Всероссийская научно-техническая и научно-методическая конференция магистрантов и их руководителей; Сборник лучших докладов: в 2 томах. Санкт-Петербург, 2023.  С. 386-390.","Литвинов В.Л., Митченкова Е.Д.",,https://www.elibrary.ru/item.asp?id=56659855
8,909,"ТРАНСПОРТ ВОДОРОДА ЧЕРЕЗ МЕМБРАНЫ ИЗ ОЦК БИНАРНЫХ СПЛАВОВ V-FE: ПРОНИЦАЕМОСТЬ, ДИФФУЗИЯ, ЭФФЕКТЫ ОТСТУПЛЕНИЯ ОТ ЗАКОНА СИВЕРТСААлимов В.Н., Буснюк А.О., Кузенов С.Р., Передистов Е.Ю., Лившиц А.И.



 В сборнике: Взаимодействие изотопов водорода с конструкционными материалами. IHISM´22 Junior. Сборник докладов 15-й Международной школы молодых ученых и специалистов им. А.А. Курдюмова. Саров, 2023.  С. 38-68.","Алимов В.Н., Буснюк А.О., Кузенов С.Р., Передистов Е.Ю., Лившиц А.И.",,https://www.elibrary.ru/item.asp?id=64491601
9,910,"МЕТОДЫ ХЕШИРОВАНИЯ ПАРОЛЕЙСтаранцова Е.В.



 В сборнике: Пути инновационного развития науки и образования в современных условиях. Сборник научных трудов. Миасс, 2023.  С. 387-394.",Старанцова Е.В.,,https://www.elibrary.ru/item.asp?id=61890426
