,number,title,authors,info,url
0,10401,"ОПРЕДЕЛЕНИЕ СРЕДНЕГО ВРЕМЕНИ ОБСЛУЖИВАНИЯ ПАКЕТА В СЕТИАмирханов Э.Д., Кравченко В.И.

Науковий огляд. 
2016. № 2 (23).  С. 43-59.","Амирханов Э.Д., Кравченко В.И.",,https://www.elibrary.ru/item.asp?id=25646603
1,10402,"АНАЛИЗ ТЕХНОЛОГИЙ ПЕРЕДАЧИ ДАННЫХ ИСПОЛЬЗУЕМЫХ ДЛЯ РАЗРАБОТКИ СТУДИИ ТЕЛЕВЕЩАНИЯ В ИНТЕРНЕТЕАмирханов Э.Д., Кравченко В.И.

Науковий огляд. 
2016. № 4 (25).  С. 111-120.","Амирханов Э.Д., Кравченко В.И.",,https://www.elibrary.ru/item.asp?id=26024311
2,10403,"IMPLEMENTATION OF THE COMMUNICATION NETWORK FOR THE MULTI-AGENT ROBOTIC SYSTEMSKirichek R., Paramonov A., Vladyko A., Borisov E.

International Journal of Embedded and Real-Time Communication Systems. 
2016. Т. 7. № 1.  С. 48-63.","Kirichek R., Paramonov A., Vladyko A., Borisov E.",,https://www.elibrary.ru/item.asp?id=28322873
3,10404,"ANALYSIS OF OPTIONS OF COOPERATIVE PROCESSING OF MEASUREMENTS IN LONG-RANGE MULTISTATIC RADAR SYSTEMBorisov E.G., Egorov S.G.

Indian Journal of Science and Technology. 
2016. Т. 9. № 42.  С. 104215.","Borisov E.G., Egorov S.G.",,https://www.elibrary.ru/item.asp?id=27354803
4,10405,"ENERGY EXPENDITURE FORECASTING AT PATH GENERATION OF SPHERICAL ROBOTS WITHIN MULTI-AGENT SYSTEMBorisov E.G., Dobretsov R.U., Matrosov S.I.

Indian Journal of Science and Technology. 
2016. Т. 9. № 44.  С. 104704.","Borisov E.G., Dobretsov R.U., Matrosov S.I.",,https://www.elibrary.ru/item.asp?id=27399365
5,10406,"FINANCES OF THE SOVIET UNION IN 1939-1945Zotova A.V.

Indian Journal of Science and Technology. 
2016. Т. 9. № 46.  С. 107544.",Zotova A.V.,,https://www.elibrary.ru/item.asp?id=28333349
6,10407,"COOPERATIVE PROCESSING OF MEASUREMENTS IN PSEUDORANGE RADIO-TECHNICAL FINDING SYSTEMMashkov G.M., Borisov E.G., Egorov S.G.

Indian Journal of Science and Technology. 
2016. Т. 9. № 46.  С. 107561.","Mashkov G.M., Borisov E.G., Egorov S.G.",,https://www.elibrary.ru/item.asp?id=28333815
7,10408,"ОСОБЕННОСТИ АЛГОРИТМА ТЯГОВОГО РАСЧЕТА ЛЕНТОЧНОГО КОНВЕЙЕРА ПРИ ЗАДАННОЙ СХЕМЕ ТРАССЫЧичикало Н.И., Киктев Н.А., Ларин В.Ю., Ларина Е.Ю.

Енергетика і автоматика. 
2016. № 2 (28).  С. 74-83.","Чичикало Н.И., Киктев Н.А., Ларин В.Ю., Ларина Е.Ю.",,https://www.elibrary.ru/item.asp?id=26738365
8,10409,"ГЕНДЕРНАЯ МИМИКРИЯ В ПОВСЕДНЕВНОСТИ: ПРИМЕРЫ ВИЗУАЛЬНОЙ АНАЛИТИКИ ЖЕНСКОГО МАКИЯЖААрхипова А.А.

Грані. 
2016. Т. 19. № 10 (138).  С. 72-77.",Архипова А.А.,,https://www.elibrary.ru/item.asp?id=28298033
9,10410,"СОЦИАЛЬНО-ИСТОРИЧЕСКАЯ АМНЕЗИЯ В УКРАИНЕ: К ПОСТАНОВКЕ ПРОБЛЕМЫАрхипова А.А.

Грані. 
2016. Т. 19. № 12 (140).  С. 33-39.",Архипова А.А.,,https://www.elibrary.ru/item.asp?id=28298061
10,10411,"УЛУЧШЕНИЕ ВЕРОЯТНОСТНО-ВРЕМЕННЫХ ХАРАКТЕРИСТИК ПРОТОКОЛОВ ИНКАПСУЛЯЦИИ 802.11Юркин Д.В., Исаченков П.А., Патрикеев А.И.

Вопросы кибербезопасности. 
2016. № 2 (15).  С. 46-53.","Юркин Д.В., Исаченков П.А., Патрикеев А.И.",,https://www.elibrary.ru/item.asp?id=26169037
11,10412,"УГОЛОВНО-ПРАВОВАЯ ХАРАКТЕРИСТИКА УБИЙСТВАЛунёв Р.С.

Советник юриста. 
2016. № 12.  С. 14-24.",Лунёв Р.С.,,https://www.elibrary.ru/item.asp?id=27522587
12,10413,"УГОЛОВНО-ПРАВОВАЯ ХАРАКТЕРИСТИКА НЕЗАКОННОГО РАСПРОСТРАНЕНИЯ ПОРНОГРАФИЧЕСКИХ МАТЕРИАЛОВ ИЛИ ПРЕДМЕТОВЛунёв Р.С.

Советник юриста. 
2016. № 9.  С. 14-27.",Лунёв Р.С.,,https://www.elibrary.ru/item.asp?id=27217790
13,10414,"ИССЛЕДОВАНИЕ ЭФФЕКТИВНОСТИ ПРИМЕНЕНИЯ НЕЧЕТКОГО РЕГУЛЯТОРА С ДВУМЯ ВХОДАМИ В СИСТЕМЕ АКТИВНОГО УПРАВЛЕНИЯ ОЧЕРЕДЬЮ ПАКЕТОВ В СЕТЯХ TCP/IPНевдачина О.В., Полоневич А.П., Артющик А.С.

Системный анализ и прикладная информатика. 
2016. № 3.  С. 19-25.","Невдачина О.В., Полоневич А.П., Артющик А.С.",,https://www.elibrary.ru/item.asp?id=27411616
14,10415,"ПОСТРОЕНИЕ МУЛЬТИКАНАЛЬНОГО ФИНАНСОВОГО ОБЕСПЕЧЕНИЯ ИННОВАЦИОННОГО РАЗВИТИЯ ПРЕДПРИЯТИЯГудзь Е.Е., Байрамов С.

Облiк i фiнанси. 
2016. № 3 (73).  С. 57-62.","Гудзь Е.Е., Байрамов С.",,https://www.elibrary.ru/item.asp?id=27250220
15,10416,"МЕТОДОЛОГИЧЕСКОЕ ИЗМЕРЕНИЕ ФОРМИРОВАНИЯ СТРАТЕГИЧЕСКОГО ПОРТФЕЛЯ ФИНАНСОВОЙ БЕЗОПАСНОСТИ ПРЕДПРИЯТИЯГудзь Е.Е., Сотниченко

Облiк i фiнанси. 
2016. № 3 (73).  С. 63-68.","Гудзь Е.Е., Сотниченко",,https://www.elibrary.ru/item.asp?id=27250221
16,10417,"СТРАТЕГИИ ФИНАНСОВОГО ОБЕСПЕЧЕНИЯ КОНКУРЕНТОСПОСОБНОСТИ ПРЕДПРИЯТИЙХалимон Т.Н.

Облiк i фiнанси. 
2016. № 4 (74).  С. 126-131.",Халимон Т.Н.,,https://www.elibrary.ru/item.asp?id=27809792
17,10418,"REAL-TIME IMPLEMENTATION OF THE ""ORTHODOXY TEST"" FOR CONFORMITY OF CURRENT-VOLTAGE CHARACTERISTICS WITH CLASSICAL FIELD ELECTRON EMISSION THEORYKolosko A.G., Filippov S.V., Romanov P.A., Popov E.O., Forbes R.G.

Journal of Vacuum Science & Technology B, Nanotechnology and Microelectronics: Materials, Processing, Measurement, and Phenomena. 
2016. Т. 34. № 4.  С. 041802.","Kolosko A.G., Filippov S.V., Romanov P.A., Popov E.O., Forbes R.G.",,https://www.elibrary.ru/item.asp?id=27155463
18,10419,"МЕТОДИКА ПРИМЕНЕНИЯ САМОМОДИФИКАЦИИ ФАЙЛОВ ДЛЯ СКРЫТОЙ ПЕРЕДАЧИ ДАННЫХ В ЭКСПЕРТНОЙ СИСТЕМЕШтеренберг С.И., Кафланов Р.И., Дружин А.С., Марченко С.С.

Наукоемкие технологии в космических исследованиях Земли. 
2016. Т. 8. № 1.  С. 71-75.","Штеренберг С.И., Кафланов Р.И., Дружин А.С., Марченко С.С.",,https://www.elibrary.ru/item.asp?id=25638381
19,10420,"АНАЛИЗ РАБОТЫ АЛГОРИТМОВ ЗАЩИТЫ ИНФОРМАЦИИ НА ОСНОВЕ САМОМОДИФИЦИРУЮЩЕГОСЯ КОДА С ПРИМЕНЕНИЕМ СТЕГОВЛОЖЕНИЯШтеренберг С.И.

Наукоемкие технологии в космических исследованиях Земли. 
2016. Т. 8. № 2.  С. 86-90.",Штеренберг С.И.,,https://www.elibrary.ru/item.asp?id=26099259
20,10421,"МОДЕЛЬ УПРАВЛЕНИЯ ПОТОКАМИ ТРАФИКА В ПРОГРАММНО-ОПРЕДЕЛЯЕМОЙ СЕТИ С ИЗМЕНЯЮЩЕЙСЯ НАГРУЗКОЙКрасов А.В., Левин М.В., Штеренберг С.И., Исаченков П.А.

Наукоемкие технологии в космических исследованиях Земли. 
2016. Т. 8. № 4.  С. 70-74.","Красов А.В., Левин М.В., Штеренберг С.И., Исаченков П.А.",,https://www.elibrary.ru/item.asp?id=26740625
21,10422,"ЕДИНЫЙ КОНСТРУКТИВНЫЙ ПОДХОД К РЕШЕНИЮ ЗАДАЧИ О НАХОЖДЕНИИ ВЗАИМНОГО КАСАНИЯ СФЕР ПРОИЗВОЛЬНОЙ РАЗМЕРНОСТИВолошинов Д.В.

Проблемы качества графической подготовки студентов в техническом вузе: традиции и инновации. 
2016. Т. 1.  С. 121-123.",Волошинов Д.В.,,https://www.elibrary.ru/item.asp?id=27220149
22,10423,"МИНИМИЗАЦИЯ МАССОГАБАРИТНЫХ ХАРАКТЕРИСТИК СГЛАЖИВАЮЩЕГО ФИЛЬТРА ТРАНЗИСТОРНОГО ПРЕОБРАЗОВАТЕЛЯ ПРИ РАБОТЕ НА ПЕРЕМЕННУЮ НАГРУЗКУДмитриков В.Ф., Шушпанов Д.В., Алексеев М.А., Петроченко А.Ю.

Электропитание. 
2016. № 3.  С. 20-23.","Дмитриков В.Ф., Шушпанов Д.В., Алексеев М.А., Петроченко А.Ю.",,https://www.elibrary.ru/item.asp?id=30550437
23,10424,"ОСНОВНЫЕ ПУТИ РАЗВИТИЯ ПРИНЦИПОВ ПОСТРОЕНИЯ СОВРЕМЕННЫХ СИСТЕМ ЭЛЕКТРОПИТАНИЯ ПРОМЫШЛЕННОГО И СПЕЦИАЛЬНОГО НАЗНАЧЕНИЯДмитриков В.Ф., Исаев В.М., Колосов В.А., Смольников Л.Е.

Электропитание. 
2016. № 4.  С. 5-8.","Дмитриков В.Ф., Исаев В.М., Колосов В.А., Смольников Л.Е.",,https://www.elibrary.ru/item.asp?id=30694559
24,10425,"СТАТИСТИЧЕСКИЙ АНАЛИЗ РАБОТЫ САМОМОДИФИЦИРУЮЩЕГОСЯ КОДА В АДАПТИВНОЙ СИСТЕМЕ ЛОКАЛЬНОЙ ВЫЧИСЛИТЕЛЬНОЙ СЕТИШтеренберг С.И.

Вестник молодых ученых Санкт-Петербургского государственного университета технологии и дизайна. 
2016. № 2.  С. 111-118.",Штеренберг С.И.,,https://www.elibrary.ru/item.asp?id=30672069
25,10426,"ФАБРИКАЦИЯ ""ПОКУШЕНИЯ"" НА С.М. КИРОВАИзмозик В.С.

Петербургский исторический журнал. 
2016. № 2 (10).  С. 212-235.",Измозик В.С.,,https://www.elibrary.ru/item.asp?id=26731660
26,10427,"РЕКОМЕНДАЦИИ ПО ВНЕДРЕНИЮ В РОССИЙСКОЙ ФЕДЕРАЦИИ СТАНДАРТА РАДИОВЕЩАНИЯ DRM+Горегляд В.Д., Ковалгин Ю.А., Мышьянов С.В., Соколов С.А.

Broadcasting. Телевидение и радиовещание. 
2016. № 2.  С. 28-32.","Горегляд В.Д., Ковалгин Ю.А., Мышьянов С.В., Соколов С.А.",,https://www.elibrary.ru/item.asp?id=25928881
27,10428,"ЭВОЛЮЦИЯ ЭФИРНОЙ СИСТЕМЫ ЦИФРОВОГО РАДИОВЕЩАНИЯ DAB, РЕКОМЕНДОВАННОЙ ITU-R ДЛЯ ПРИМЕНЕНИЯ В ПОЛОСЕ ЧАСТОТ 174–240 МГЦ ДИАПАЗОНА ОВЧ. ЧАСТЬ 1Ковалгин Ю.А., Мышьянов С.В.

Broadcasting. Телевидение и радиовещание. 
2016. № 8.  С. 33-36.","Ковалгин Ю.А., Мышьянов С.В.",,https://www.elibrary.ru/item.asp?id=28082037
28,10429,"БЛОЧНЫЙ ПОДХОД К СОЗДАНИЮ НОВЫХ СТРУКТУРПустыльников Л.М., Золотов О.И., Белов М.П.

Международная конференция по мягким вычислениям и измерениям. 
2016. Т. 1.  С. 308-310.","Пустыльников Л.М., Золотов О.И., Белов М.П.",,https://www.elibrary.ru/item.asp?id=27053140
29,10430,"ФОРМИРОВАНИЕ МОДЕЛЬНО-АНАЛИТИЧЕСКОГО ИНТЕЛЛЕКТА ИНФОРМАЦИОННЫХ АГЕНТОВ ДЛЯ РЕАКТИВНЫХ ИНФОКОММУНИКАЦИОННЫХ СРЕДПтицына Л.К., Лебедева А.А., Белов М.П.

Международная конференция по мягким вычислениям и измерениям. 
2016. Т. 1.  С. 324-326.","Птицына Л.К., Лебедева А.А., Белов М.П.",,https://www.elibrary.ru/item.asp?id=27053152
30,10431,"ПРИМЕНЕНИЕ НЕЧЕТКОЙ ЛОГИКИ ДЛЯ РЕАЛИЗАЦИИ НАСОСНОГО ОБОРУДОВАНИЯКозлова Л.П., Козлова О.А.

Международная конференция по мягким вычислениям и измерениям. 
2016. Т. 1.  С. 497-499.","Козлова Л.П., Козлова О.А.",,https://www.elibrary.ru/item.asp?id=27053253
31,10432,"МЕТОДОЛОГИЯ ЧЕТЫРЕХУРОВНЕВЫХ ИНТЕГРАТИВНЫХ МОДЕЛЕЙ СТРУКТУРНО-ПАРАМЕТРИЧЕСКОГО СИНТЕЗА СИСТЕМНЫХ ОБЪЕКТОВАкимов С.В., Верхова Г.В.

Международная конференция по мягким вычислениям и измерениям. 
2016. Т. 2.  С. 17-20.","Акимов С.В., Верхова Г.В.",,https://www.elibrary.ru/item.asp?id=27187613
32,10433,"ЛИНГВИСТИЧЕСКОЕ ОБЕСПЕЧЕНИЕ МОДЕЛИРОВАНИЯ МОРФОЛОГИЧЕСКОГО МНОЖЕСТВААкимов С.В., Верхова Г.В.

Международная конференция по мягким вычислениям и измерениям. 
2016. Т. 2.  С. 51-54.","Акимов С.В., Верхова Г.В.",,https://www.elibrary.ru/item.asp?id=27187623
33,10434,"ДОГОВОР О СЕТЕВОЙ ФОРМЕ РЕАЛИЗАЦИИ ОБРАЗОВАТЕЛЬНОЙ ПРОГРАММЫСтепанов А.Б.

Современное образование: содержание, технологии, качество. 
2016. Т. 1.  С. 122-125.",Степанов А.Б.,,https://www.elibrary.ru/item.asp?id=26530191
34,10435,"ЛЕТНЯЯ ШКОЛА ""СТЕРЕОСКОПИЧЕСКОЕ ФОТО И ВИДЕО"" КАК ВИД АКАДЕМИЧЕСКОЙ МОБИЛЬНОСТИТуманова Е.И.

Современное образование: содержание, технологии, качество. 
2016. Т. 1.  С. 128-129.",Туманова Е.И.,,https://www.elibrary.ru/item.asp?id=26530193
35,10436,"ИСПОЛЬЗОВАНИЕ МЕЖДУНАРОДНЫХ INTERNET РЕСУРСОВ ПРИ ПОДГОТОВКЕ МАГИСТРОВБелов М.П., Якубова Н.Р.

Современное образование: содержание, технологии, качество. 
2016. Т. 1.  С. 163-165.","Белов М.П., Якубова Н.Р.",,https://www.elibrary.ru/item.asp?id=26530206
36,10437,"ПРОГРАММНАЯ ИНЖЕНЕРИЯ - ФОРМИРОВАНИЕ ПРОФЕССИОНАЛЬНО-СПЕЦИАЛИЗИРОВАННЫХ КОМПЕТЕНЦИЙ УЧЕБНОГО ПЛАНА ПО ФГОС ВО 3+Бузюков Л.Б., Окунева Д.В.

Современное образование: содержание, технологии, качество. 
2016. Т. 1.  С. 88-91.","Бузюков Л.Б., Окунева Д.В.",,https://www.elibrary.ru/item.asp?id=26530178
37,10438,"АКМЕОЛОГИЧЕСКИЙ ПОДХОД К АНАЛИЗУ МОДЕЛЕЙ ПРОФЕССИОНАЛЬНЫХ КОМПЕТЕНЦИЙ БАКАЛАВРОВ ПО НАПРАВЛЕНИЮ ПОДГОТОВКИ ""ПРОГРАММНАЯ ИНЖЕНЕРИЯ""Коробов С.А., Софьина В.Н.

Современное образование: содержание, технологии, качество. 
2016. Т. 2.  С. 259-261.","Коробов С.А., Софьина В.Н.",,https://www.elibrary.ru/item.asp?id=26530408
38,10439,"ФОРМИРОВАНИЕ КОНТИНГЕНТА ДЛЯ ОРГАНИЗАЦИИ ПОВЫШЕНИЯ КВАЛИФИКАЦИИ СПЕЦИАЛИСТОВ ИНФОКОММУНИКАЦИОННЫХ КОМПАНИЙБутыльский Ю.Т.

Современное образование: содержание, технологии, качество. 
2016. Т. 2.  С. 3-4.",Бутыльский Ю.Т.,,https://www.elibrary.ru/item.asp?id=26530296
39,10440,"ШЛЕЙФНЫЕ ФИЛЬТРЫ СВЧ В ОБЪЕМНОМ ИНТЕГРАЛЬНОМ ИСПОЛНЕНИИБулатова И.А., Иванова Е.А., Крюков А.Н., Седышев Э.Ю.

Электроника и микроэлектроника СВЧ. 
2016. Т. 1.  С. 169-174.","Булатова И.А., Иванова Е.А., Крюков А.Н., Седышев Э.Ю.",,https://www.elibrary.ru/item.asp?id=26607438
40,10441,"ДИСТАНЦИОННЫЙ КОНТРОЛЬ ГЛУБИНЫ ВОДОЕМА С ИСПОЛЬЗОВАНИЕМ МНОГОКАНАЛЬНОГО ДОСТУПА К ПОЛЯМ СЕЙШЕВОГО ПРОИСХОЖДЕНИЯАнахов П.В., Анахов С.П.

Геоінформатика. 
2016. № 1 (57).  С. 79-83.","Анахов П.В., Анахов С.П.",,https://www.elibrary.ru/item.asp?id=25797463
41,10442,"ПРИМЕНЕНИЕ ДУАЛЬНОЙ СИСТЕМЫ ОБРАЗОВАНИЯКозлова Л.П., Козлова О.А.

Планирование и обеспечение подготовки кадров для промышленно-экономического комплекса региона. 
2016. Т. 1.  С. 191-194.","Козлова Л.П., Козлова О.А.",,https://www.elibrary.ru/item.asp?id=27320680
42,10443,"ПОПЫТКА ВОЕННОГО МИНИСТРА А. И. ВЕРХОВСКОГО В СЕНТЯБРЕ-ОКТЯБРЕ 1917 Г. РЕФОРМИРОВАТЬ РУССКУЮ АРМИЮПолторак С.Н.

Проблемы истории и историографии. Сборник докладов межвузовской научной конференции. 
2016. Т. 4.  С. 213-219.",Полторак С.Н.,,https://www.elibrary.ru/item.asp?id=26740121
43,10444,"""НАШЕ ВЕЗДЕ"" (К 60-ЛЕТИЮ С. Н. ПОЛТОРАКА)Измозик В.С.

Проблемы истории и историографии. Сборник докладов межвузовской научной конференции. 
2016. Т. 4.  С. 23-26.",Измозик В.С.,,https://www.elibrary.ru/item.asp?id=26740107
