,number,title,authors,info,url
0,8501,"СОВРЕМЕННЫЕ АСПЕКТЫ ВЫСШЕГО ОБРАЗОВАНИЯ В ИНФОРМАЦИОННО-ЦИФРОВОМ ОБЩЕСТВЕСотников А.Д., Катасонова Г.Р.

Вестник Санкт-Петербургского государственного института культуры. 
2018. № 2 (35).  С. 138-144.","Сотников А.Д., Катасонова Г.Р.",,https://www.elibrary.ru/item.asp?id=35303735
1,8502,"МНОГОАСПЕКТНАЯ СРЕДА АНАЛИЗА, СИНТЕЗА И УПРАВЛЕНИЯАкимов С.В., Добросельский М.А., Курносов В.И.

I-methods. 
2018. Т. 10. № 1.  С. 31-38.","Акимов С.В., Добросельский М.А., Курносов В.И.",,https://www.elibrary.ru/item.asp?id=37090312
2,8503,"МОДЕЛИРОВАНИЕ КОММУНИКАЦИОННОГО ПРОСТРАНСТВА СРЕДСТВ ТЕЛЕКОММУНИКАЦИИАкимов С.В., Верхова Г.В.

Техника средств связи. 
2018. № 1 (141).  С. 24-28.","Акимов С.В., Верхова Г.В.",,https://www.elibrary.ru/item.asp?id=48623408
3,8504,"ЕДИНОЕ ИНФОРМАЦИОННОЕ ПРОСТРАНСТВО ПОЧТОВОЙ СВЯЗИ НА ОСНОВЕ МНОГОАСПЕКТНЫХ МОДЕЛЕЙАкимов С.В., Верхова Г.В., Белоус К.В.

Техника средств связи. 
2018. № 1 (141).  С. 29-33.","Акимов С.В., Верхова Г.В., Белоус К.В.",,https://www.elibrary.ru/item.asp?id=48623409
4,8505,"TEMPERATURE INVESTIGATIONS OF INP/INGAAS BASED PHOTOCATHODESSmirnov K.J., Davydov V.V., Tushavin G.V., Glagolev S.F.



 В сборнике: 2018 IEEE International Conference on Electrical Engineering and Photonics, EExPolytech 2018. Proceedings. 2018.  С. 209-211.","Smirnov K.J., Davydov V.V., Tushavin G.V., Glagolev S.F.",,https://www.elibrary.ru/item.asp?id=36676886
5,8506,"КОНТРОЛЬНО-ИСПЫТАТЕЛЬНАЯ ПРОГРАММА ДЛЯ СФЕРИЧЕСКОГО РОБОТАБорисов Е.Г., Егоров С.Е., Почекутов Д.В., Ложкин Д.С.



Свидетельство о регистрации программы для ЭВМ RU 2017613412, 17.03.2017.
 Заявка № 2016664536 от 27.12.2016.","Борисов Е.Г., Егоров С.Е., Почекутов Д.В., Ложкин Д.С.",,https://www.elibrary.ru/item.asp?id=39362128
6,8507,"УСТРОЙСТВО МАЖОРИТАРНОГО ДЕКОДИРОВАНИЯ КОДА РИДА-СОЛОМОНА ПО K-ЭЛЕМЕНТНЫМ УЧАСТКАМ КОДОВОЙ КОМБИНАЦИИ С ПОРОГОМ ОПРЕДЕЛЕНИЯ НЕИСПРАВЛЯЕМОЙ ОШИБКИКогновицкий О.С., Владимиров С.С.



Патент на изобретение RU 2610684 C , 14.02.2017.
 Заявка № 2015144270 от 14.10.2015.","Когновицкий О.С., Владимиров С.С.",,https://www.elibrary.ru/item.asp?id=38259172
7,8508,"ИССЛЕДОВАНИЕ И РАЗРАБОТКА МОДИФИКАЦИЙ АППАРАТНО-РЕАЛИЗОВАННЫХ ЗАЩИТНЫХ БЛОКОВЫХ ПРЕОБРАЗОВАНИЙ, УСТОЙЧИВЫХ К ПОБОЧНЫМ АТАКАМ ПО ЦЕПЯМ ЭЛЕКТРОПИТАНИЯТихонов С.В.



диссертация на соискание ученой степени кандидата технических наук / Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А. Бонч-Бруевича"". 
2017",Тихонов С.В.,,https://www.elibrary.ru/item.asp?id=54449168
8,8509,"СПОСОБ ОПРЕДЕЛЕНИЯ МЕСТОПОЛОЖЕНИЯ СКАНИРУЮЩЕЙ РЛС ПАССИВНЫМ МНОГОЛУЧЕВЫМ ПЕЛЕНГАТОРОММашков Г.М., Борисов Е.Г., Голод О.С., Мартемьянов И.С., Рябуха Ю.В.



Патент на изобретение RU 2633962 C , 20.10.2017.
 Заявка № 2016128913 от 14.07.2016.","Машков Г.М., Борисов Е.Г., Голод О.С., Мартемьянов И.С., Рябуха Ю.В.",,https://www.elibrary.ru/item.asp?id=38272143
9,8510,"ПЕРЕНОС ВОДОРОДА В СПЛАВАХ V-PD И МЕМБРАННОЕ ВЫДЕЛЕНИЕ СВЕРХЧИСТОГО ВОДОРОДА ДЛЯ ТЕХНОЛОГИЙ МИКРОЭЛЕКТРОНИКИПередистов Е.Ю.



диссертация на соискание ученой степени кандидата технических наук / Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский политехнический университет Петра Великого». 
2017",Передистов Е.Ю.,,https://www.elibrary.ru/item.asp?id=54448044
