,number,title,authors,info,url
0,11901,ЦЕНЗУРНЫЕ УЧРЕЖДЕНИЯ В РОССИЙСКОЙ ИМПЕРИИ В КОНЦЕ XVIII – НАЧАЛЕ XX ВЕКА,"Патрушева Н.Г., Абакумов О.Ю., Антонов В.В., Аракелян Ф.А., Гринченко Н.А., Измозик В.С., Раскин Д.И., Сомов В.А., Фут И.П., Эльяшевич Д.А.","В книге: Цензоры Российской империи: конец XVIII - начало XX века.  Патрушева Н.Г., Гринченко Н.А., Абакумов О.Ю., Антонов В.В., Аракелян Ф.А., Измозик В.С., Раскин Д.И., Сомов В.А., Фут И.П., Эльяшевич Д.А. Биобиблиографический справочник. Российская национальная библиотека. Санкт-Петербург, 2013.  С. 19-78.",https://www.elibrary.ru/item.asp?id=27289045
1,11902,АРХИТЕКТУРА И ФУНКЦИЯ ОПТИМИЗАЦИИ ТРАФИКА В СЕТЯХ DSN,Рыбников Д.С.,В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании. II Международная научно-техническая и научно-методическая конференция. 2013.  С. 204-207.,https://www.elibrary.ru/item.asp?id=21939521
2,11903,ОЦЕНКА ПРОПУСКНОЙ СПОСОБНОСТИ УЗЛОВ БАЗОВЫХ СТАНЦИЙ В СЕТЯХ LTE,"Рыжков А.Е., Бабкин А.С., Пыленок А.М.",В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании. II Международная научно-техническая и научно-методическая конференция. 2013.  С. 207-211.,https://www.elibrary.ru/item.asp?id=21940226
3,11904,О ПРИМЕНЕНИИ НЕЙРОСЕТЕВЫХ МЕТОДОВ ДЛЯ ПРОГНОЗИРОВАНИЯ ПОКАЗАТЕЛЕЙ НАДЕЖНОСТИ ФИЗИЧЕСКОГО КАНАЛА ПАССИВНЫХ ОПТИЧЕСКИХ СЕТЕЙ,Пирмагомедов Р.Я.,В сборнике: Надежность функционирования и информационная безопасность телекоммуникационных систем железнодорожного транспорта. материалы Всероссийской научно-технической Интернет-конференции с международным участием. Омский государственный университет путей сообщения ; редактор В. Е. Митрохин. 2013.  С. 209-216.,https://www.elibrary.ru/item.asp?id=21489285
4,11905,ОЦЕНКА ПРОПУСКНОЙ СПОСОБНОСТИ ФЕМТОСОТ В СЕТИ LTE,"Рыжков А.Е., Трофимов А.П.",В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании. II Международная научно-техническая и научно-методическая конференция. 2013.  С. 211-215.,https://www.elibrary.ru/item.asp?id=21940020
5,11906,МЕДИАКОМПЛЕКС В ОБРАЗОВАТЕЛЬНОЙ СРЕДЕ ВУЗА,"Бучатский А.Н., Колесов А.К., Червинская В.А.",В сборнике: ИНФОРМАЦИОННАЯ СРЕДА ВУЗА XXI ВЕКА. Материалы VII Международной научно-практической конференции. 2013.  С. 21-24.,https://www.elibrary.ru/item.asp?id=20628168
6,11907,ОСОБЕННОСТИ РЕЦЕПЦИИ КНИГИ ИСХОД В АНГЛОСАКСОНСКОЙ ПОЭТИЧЕСКОЙ ТРАДИЦИИ,Яценко М.В.,"В сборнике: Иудаика и библеистика. материалы II ежегодной конференции по иудаике и востоковедению. Сер. ""Труды по иудаике. Филология и культурология, Выпуск 2"" ответственные редакторы: К.А. Битнер, Л.А. Лукинцова. 2013.  С. 217-225.",https://www.elibrary.ru/item.asp?id=23871305
7,11908,КАЧЕСТВО ВОСПРИЯТИЯ И КАЧЕСТВО ОБСЛУЖИВАНИЯ В МУЛЬТИСЕРВИСНЫХ СЕТЯХ,Симонина О.А.,В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании. II Международная научно-техническая и научно-методическая конференция. 2013.  С. 218-220.,https://www.elibrary.ru/item.asp?id=21940227
8,11909,ОЦЕНКА НАДЕЖНОСТИ ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ РАСПРЕДЕЛЕННОЙ ИНФОРМАЦИОННОЙ СИСТЕМЫ,"Скорик Ф.А., Саенко И.Б., Пантюхин О.И.",В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании. II Международная научно-техническая и научно-методическая конференция. 2013.  С. 220-223.,https://www.elibrary.ru/item.asp?id=21939880
9,11910,ПРОПУСКНАЯ СПОСОБНОСТЬ СЕТЕЙ LTE,Слышков А.С.,В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании. II Международная научно-техническая и научно-методическая конференция. 2013.  С. 223-226.,https://www.elibrary.ru/item.asp?id=21939418
10,11911,МЕТОДЫ МОДЕЛИРОВАНИЯ ТРАФИКА БАЗОВОЙ СЕТИ EPC LTE,Сучков Е.С.,В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании. II Международная научно-техническая и научно-методическая конференция. 2013.  С. 226-229.,https://www.elibrary.ru/item.asp?id=21940062
11,11912,МЕТОД ГЕНЕРАЦИИ ТРАФИКА ПО ЗАКОНАМ РАСПРЕДЕЛЕНИЯ,Фицов В.В.,В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании. II Международная научно-техническая и научно-методическая конференция. 2013.  С. 232-234.,https://www.elibrary.ru/item.asp?id=21937679
12,11913,ИНТЕРНЕТ ВЕЩЕЙ И СЕТЕВЫЕ ПРОТОКОЛЫ,"Кучерявый А.Е., Кучерявый Е.А., Прокопьев А.В.",В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании. II Международная научно-техническая и научно-методическая конференция. 2013.  С. 23-29.,https://www.elibrary.ru/item.asp?id=21939484
